work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Principal Data Scientist,269355,USD,269355,ES,100,ES,L
2023,MI,CT,ML Engineer,179942,USD,179942,US,100,US,S
2023,MI,CT,ML Engineer,189365,USD,189365,US,100,US,S
2023,SE,FT,Data Scientist,257959,USD,257959,CA,100,CA,M
2023,SE,FT,Data Scientist,236892,USD,236892,CA,100,CA,M
2023,SE,FT,Applied Scientist,242992,USD,242992,US,0,US,L
2023,SE,FT,Applied Scientist,264733,USD,264733,US,0,US,L
2023,SE,FT,Data Scientist,238900,USD,238900,CA,0,CA,M
2023,SE,FT,Data Scientist,224071,USD,224071,CA,0,CA,M
2023,SE,FT,Data Scientist,236204,USD,236204,US,0,US,M
2023,SE,FT,Data Scientist,224144,USD,224144,US,0,US,M
2023,SE,FT,Data Analyst,231916,USD,231916,US,100,US,M
2023,SE,FT,Data Analyst,240400,USD,240400,US,100,US,M
2023,EN,FT,Applied Scientist,142861,USD,142861,US,0,US,L
2023,EN,FT,Applied Scientist,145119,USD,145119,US,0,US,L
2023,SE,FT,Data Modeler,222058,USD,222058,US,0,US,M
2023,SE,FT,Data Modeler,216657,USD,216657,US,0,US,M
2023,SE,FT,Data Scientist,233467,USD,233467,US,0,US,M
2023,SE,FT,Data Scientist,218813,USD,218813,US,0,US,M
2023,MI,FT,Data Analyst,180567,USD,180567,US,100,US,M
2023,MI,FT,Data Analyst,215071,USD,215071,US,100,US,M
2023,SE,FT,Research Engineer,231093,USD,231093,DE,0,DE,M
2023,SE,FT,Research Engineer,234609,USD,234609,DE,0,DE,M
2023,SE,FT,Analytics Engineer,218318,USD,218318,GB,100,GB,M
2023,SE,FT,Analytics Engineer,228873,USD,228873,GB,100,GB,M
2023,SE,FT,Business Intelligence Engineer,228129,USD,228129,US,0,US,M
2023,SE,FT,Business Intelligence Engineer,213000,USD,213000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,236404,USD,236404,US,0,US,M
2023,SE,FT,Machine Learning Engineer,224698,USD,224698,US,0,US,M
2023,SE,FT,Data Strategist,226502,USD,226502,CA,0,CA,M
2023,SE,FT,Data Strategist,222786,USD,222786,CA,0,CA,M
2023,SE,FT,Data Engineer,250507,USD,250507,US,0,US,M
2023,SE,FT,Data Engineer,228138,USD,228138,US,0,US,M
2023,SE,FT,Computer Vision Engineer,214619,USD,214619,US,0,US,M
2023,SE,FT,Computer Vision Engineer,237161,USD,237161,US,0,US,M
2023,MI,FT,Data Engineer,173663,USD,173663,US,0,US,M
2023,MI,FT,Data Engineer,190804,USD,190804,US,0,US,M
2023,MI,FT,Data Analyst,164005,USD,164005,US,0,US,M
2023,MI,FT,Data Analyst,171576,USD,171576,US,0,US,M
2023,EN,FT,Data Quality Analyst,181460,USD,181460,NG,100,NG,L
2023,EN,FT,Compliance Data Analyst,186053,USD,186053,NG,100,NG,L
2022,MI,FT,Machine Learning Engineer,213954,USD,213954,IN,50,IN,L
2023,EN,FT,Applied Scientist,164413,USD,164413,US,0,US,L
2023,EN,FT,Applied Scientist,162190,USD,162190,US,0,US,L
2023,SE,FT,Data Engineer,210573,USD,210573,US,0,US,M
2023,SE,FT,Data Engineer,219669,USD,219669,US,0,US,M
2023,SE,FT,Data Scientist,234177,USD,234177,US,100,US,M
2023,SE,FT,Data Scientist,252373,USD,252373,US,100,US,M
2023,SE,FT,Data Scientist,243819,USD,243819,US,100,US,M
2023,SE,FT,Data Scientist,218562,USD,218562,US,100,US,M
2023,SE,FT,Data Scientist,243585,USD,243585,US,100,US,M
2023,SE,FT,Data Scientist,235083,USD,235083,US,100,US,M
2023,SE,FT,Data Scientist,231584,USD,231584,US,100,US,M
2023,SE,FT,Data Scientist,247033,USD,247033,US,100,US,M
2023,SE,FT,Data Engineer,250660,USD,250660,US,100,US,M
2023,SE,FT,Data Engineer,249465,USD,249465,US,100,US,M
2023,SE,FT,Research Engineer,223738,USD,223738,US,0,US,M
2023,SE,FT,Research Engineer,230092,USD,230092,US,0,US,M
2023,EX,FT,Data Scientist,273671,USD,273671,US,0,US,M
2023,EX,FT,Data Scientist,281395,USD,281395,US,0,US,M
2023,SE,FT,Data Engineer,232555,USD,232555,US,100,US,M
2023,SE,FT,Data Engineer,236074,USD,236074,US,100,US,M
2023,SE,FT,Data Scientist,226436,USD,226436,US,100,US,M
2023,SE,FT,Data Scientist,225358,USD,225358,US,100,US,M
2023,SE,FT,Data Engineer,238041,USD,238041,US,0,US,M
2023,SE,FT,Data Engineer,244560,USD,244560,US,0,US,M
2023,SE,FT,Data Engineer,237436,USD,237436,US,100,US,M
2023,SE,FT,Data Engineer,250331,USD,250331,US,100,US,M
2023,SE,FT,Applied Scientist,250135,USD,250135,US,0,US,L
2023,SE,FT,Applied Scientist,238065,USD,238065,US,0,US,L
2023,SE,FT,Data Engineer,232632,USD,232632,US,0,US,M
2023,SE,FT,Data Engineer,246739,USD,246739,US,0,US,M
2023,SE,FT,Data Scientist,239270,USD,239270,US,100,US,M
2023,SE,FT,Data Scientist,258458,USD,258458,US,100,US,M
2023,SE,FT,Computer Vision Engineer,195891,USD,195891,US,0,US,M
2023,SE,FT,Computer Vision Engineer,237153,USD,237153,US,0,US,M
2023,SE,FT,Data Architect,239143,USD,239143,US,100,US,M
2023,SE,FT,Data Architect,234515,USD,234515,US,100,US,M
2023,SE,FT,Data Engineer,239400,USD,239400,US,100,US,M
2023,SE,FT,Data Engineer,214470,USD,214470,US,100,US,M
2023,MI,FT,Data Scientist,207066,USD,207066,HK,0,HK,L
2023,SE,FT,Machine Learning Engineer,246181,USD,246181,PT,100,US,M
2023,MI,FT,Applied Machine Learning Engineer,193318,USD,193318,IN,100,DE,S
2022,EN,FT,AI Developer,158886,USD,158886,IN,50,IN,L
2023,MI,FT,Machine Learning Engineer,212206,USD,212206,NL,100,NL,L
2023,SE,FT,Business Intelligence Engineer,220784,USD,220784,US,0,US,M
2023,SE,FT,Business Intelligence Engineer,237774,USD,237774,US,0,US,M
2023,SE,FT,Data Engineer,242241,USD,242241,US,100,US,M
2023,SE,FT,Data Engineer,231948,USD,231948,US,100,US,M
2023,SE,FT,Data Engineer,234453,USD,234453,US,0,US,M
2023,SE,FT,Data Engineer,229463,USD,229463,US,0,US,M
2023,SE,FT,Data Scientist,241313,USD,241313,ES,0,ES,M
2023,SE,FT,Data Scientist,221283,USD,221283,ES,0,ES,M
2023,SE,FT,Data Scientist,225771,USD,225771,US,0,US,M
2023,SE,FT,Data Scientist,224998,USD,224998,US,0,US,M
2023,EN,FT,Machine Learning Engineer,134353,USD,134353,US,0,US,M
2023,EN,FT,Machine Learning Engineer,155450,USD,155450,US,0,US,M
2023,SE,FT,Data Engineer,241429,USD,241429,US,100,US,M
2023,SE,FT,Data Engineer,238361,USD,238361,US,100,US,M
2023,SE,FT,Data Analyst,244687,USD,244687,US,0,US,L
2023,SE,FT,Data Analyst,230531,USD,230531,US,0,US,L
2023,SE,FT,Data Analyst,222456,USD,222456,US,0,US,M
2023,SE,FT,Data Analyst,223391,USD,223391,US,0,US,M
2023,SE,FT,Data Engineer,218681,USD,218681,US,0,US,M
2023,SE,FT,Data Engineer,226366,USD,226366,US,0,US,M
2023,SE,FT,Data Engineer,233144,USD,233144,US,0,US,M
2023,SE,FT,Data Engineer,250913,USD,250913,US,0,US,M
2023,SE,FT,Analytics Engineer,227493,USD,227493,US,0,US,M
2023,SE,FT,Analytics Engineer,228487,USD,228487,US,0,US,M
2023,SE,FT,Data Engineer,227407,USD,227407,US,0,US,M
2023,SE,FT,Data Engineer,205295,USD,205295,US,0,US,M
2023,SE,FT,Research Engineer,233482,USD,233482,US,0,US,M
2023,SE,FT,Research Engineer,234522,USD,234522,US,0,US,M
2023,EN,FT,Research Scientist,208431,USD,208431,US,50,US,L
2022,EN,FT,Machine Learning Engineer,134593,USD,134593,CH,100,CH,S
2023,SE,FT,Data Scientist,233315,USD,233315,US,0,US,M
2023,SE,FT,Data Scientist,229283,USD,229283,US,0,US,M
2023,SE,FT,Analytics Engineer,211388,USD,211388,US,0,US,M
2023,SE,FT,Analytics Engineer,239101,USD,239101,US,0,US,M
2023,SE,FT,Analytics Engineer,234414,USD,234414,US,0,US,M
2023,SE,FT,Analytics Engineer,234883,USD,234883,US,0,US,M
